Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Preferred,Height,Weight,AltPos,Age,Nation,League,Team
Gaspar Servio,70,69,70,71,70,48,67,GK,Right,"185cm / 6'1""",86kg / 190lb,,32,Argentina,Sudamericana,Guaraní
Gassan Ahadme,65,67,63,51,61,30,70,ST,Right,"188cm / 6'2""",77kg / 170lb,,23,Morocco,EFL League One,Charlton Ath
Gaston Brugman,72,70,68,71,73,69,72,CM,Right,"175cm / 5'9""",66kg / 146lb,CDM,32,Uruguay,MLS,LA Galaxy
Gastón Benavídez,73,67,36,62,62,72,65,RB,Right,"175cm / 5'9""",71kg / 157lb,CB,28,Argentina,Libertadores,Talleres
Gastón Benedetti,71,72,57,63,67,67,64,LB,Left,"175cm / 5'9""",68kg / 150lb,LM,23,Argentina,Libertadores,Estudiantes
Gastón Bueno,66,50,32,42,47,70,59,CB,Right,"183cm / 6'0""",74kg / 163lb,,39,Uruguay,Sudamericana,Racing Club
Gastón Campi,69,35,45,58,58,68,77,CB,Left,"193cm / 6'4""",83kg / 183lb,,33,Argentina,Libertadores,San Lorenzo
Gastón Giménez,70,61,59,67,70,65,80,CDM,Left,"188cm / 6'2""",82kg / 181lb,CM,33,Paraguay,MLS,Chicago Fire FC
Gastón González,69,81,67,63,70,40,74,LW,Left,"183cm / 6'0""",81kg / 179lb,LM,23,Argentina,Libertadores,Nacional
Gastón Gómez,70,70,65,71,72,33,71,GK,Right,"190cm / 6'3""",99kg / 218lb,,28,Argentina,Libertadores,San Lorenzo
Gastón Hernández,75,67,37,52,59,76,72,CB,Right,"185cm / 6'1""",76kg / 168lb,,26,Argentina,Libertadores,San Lorenzo
Gastón Lezcano,70,69,71,64,74,24,63,ST,Right,"170cm / 5'7""",67kg / 148lb,RW,37,Argentina,Libertadores,Cobresal
Gastón Lódico,74,80,58,72,79,56,58,LM,Right,"173cm / 5'8""",63kg / 139lb,"CAM, CM, LW",26,Argentina,Primera División,Instituto
Gastón Martirena,71,82,64,67,68,65,60,RB,Right,"174cm / 5'9""",65kg / 143lb,RM,24,Uruguay,Sudamericana,Racing Club
Gastón Olveira,73,72,75,57,73,19,70,GK,Right,"191cm / 6'3""",80kg / 176lb,,31,Uruguay,Sudamericana,Olimpia
Gastón Ramírez,72,61,70,74,74,43,61,CAM,Left,"183cm / 6'0""",78kg / 172lb,"CM, CDM",33,Uruguay,Libertadores,Peñarol
Gastón Romano,60,66,54,63,61,51,58,CM,Right,"178cm / 5'10""",75kg / 165lb,,26,Argentina,SUPERLIGA,FC Botoșani
Gastón Sauro,69,40,33,51,52,68,73,CB,Right,"190cm / 6'3""",78kg / 172lb,,34,Argentina,Primera División,Sarmiento
Gastón Suso,71,49,41,52,51,72,75,CB,Left,"190cm / 6'3""",82kg / 181lb,,33,Argentina,Primera División,Platense
Gastón Togni,72,75,70,70,72,63,69,LM,Left,"181cm / 5'11""",80kg / 176lb,"LW, LB",26,Argentina,Sudamericana,Defensa
Gastón Valles,64,68,63,55,62,30,68,ST,Left,"186cm / 6'1""",78kg / 172lb,,23,Uruguay,LALIGA HYPERMOTION,FC Cartagena
Gastón Verón,71,72,69,64,72,42,67,ST,Right,"184cm / 6'0""",82kg / 181lb,"RW, CAM",23,Argentina,Sudamericana,Argentinos Jrs.
Gastón Álvarez,75,75,27,59,65,76,75,CB,Left,"184cm / 6'0""",72kg / 159lb,LB,24,Uruguay,ROSHN Saudi League,Al Qadisiyah
Gastón Ávila,70,70,46,63,63,69,72,CB,Left,"182cm / 6'0""",75kg / 165lb,LB,22,Argentina,Eredivisie,Ajax
Gatlin O'Donkor,61,73,60,47,62,31,68,ST,Left,"178cm / 5'10""",64kg / 141lb,RM,19,England,EFL League One,Bristol Rovers
Gaute Vetti,64,56,49,61,64,61,64,CM,Right,"180cm / 5'11""",74kg / 163lb,CDM,26,Norway,Eliteserien,FK Bodø/Glimt
Gauthier Gallon,73,74,71,72,75,40,73,GK,Right,"187cm / 6'2""",80kg / 176lb,,31,France,Ligue 1 McDonald's,Stade Rennais FC
Gauthier Hein,74,78,72,73,79,35,57,CAM,Left,"170cm / 5'7""",65kg / 143lb,RM,28,France,Ligue 2 BKT,FC Metz
Gautier Larsonneur,74,72,72,72,75,52,73,GK,Right,"181cm / 5'11""",70kg / 154lb,,27,France,Ligue 1 McDonald's,AS Saint-Étienne
Gautier Lloris,74,40,36,54,56,74,77,CB,Left,"191cm / 6'3""",87kg / 192lb,,29,France,Ligue 1 McDonald's,Havre AC
Gavan Holohan,62,68,58,59,63,54,68,CM,Right,"180cm / 5'11""",75kg / 165lb,"CDM, CAM",32,Republic of Ireland,EFL League One,Crawley Town
Gavi,83,76,66,78,85,68,70,CM,Right,"173cm / 5'8""",70kg / 154lb,LW,20,Spain,LA LIGA,FC Barcelona
Gavin Bazunu,73,74,72,74,76,47,69,GK,Right,"189cm / 6'2""",78kg / 172lb,,22,Republic of Ireland,Premier League,Southampton
Gavin Beavers,58,60,57,58,61,22,59,GK,Right,"196cm / 6'5""",83kg / 183lb,,19,United States,MLS,Real Salt Lake
Gavin Kilkenny,65,60,53,64,67,60,55,CM,Right,"170cm / 5'7""",64kg / 141lb,CDM,24,Republic of Ireland,EFL League Two,Swindon Town
Gavin Molloy,64,55,52,53,56,63,70,CB,Right,"179cm / 5'10""",77kg / 170lb,CDM,22,Republic of Ireland,Scottish Prem,Aberdeen
Gaya,82,81,61,77,79,78,74,LB,Left,"172cm / 5'8""",66kg / 146lb,,29,Spain,LA LIGA,Valencia CF
Gaël Ondoua,67,67,46,62,62,63,75,CDM,Left,"187cm / 6'2""",74kg / 163lb,CM,28,Cameroon,CSSL,Servette FC
Gaëtan Courtet,68,59,69,61,65,27,67,ST,Right,"180cm / 5'11""",73kg / 161lb,,35,France,Ligue 2 BKT,USL Dunkerque
Gaëtan Laura,63,84,60,51,64,24,74,ST,Right,"178cm / 5'10""",82kg / 181lb,RM,29,France,Trendyol Super Lig,Samsunspor
Gaëtan Paquiez,67,69,45,59,62,63,74,RB,Right,"182cm / 6'0""",72kg / 159lb,"LB, CB",30,France,Ligue 2 BKT,Grenoble Foot 38
Gaëtan Perrin,72,80,68,67,74,37,64,LM,Right,"169cm / 5'7""",63kg / 139lb,"RM, LW",28,France,Ligue 1 McDonald's,AJ Auxerre
Gaëtan Poussin,67,68,67,63,67,20,66,GK,Right,"184cm / 6'0""",84kg / 185lb,,25,France,LALIGA HYPERMOTION,Real Zaragoza
Gaëtane Thiney,83,56,81,84,83,50,72,CAM,Right,"170cm / 5'7""",62kg / 137lb,CM,38,France,Arkema PL,Paris FC
Gbemi Arubi,52,73,50,43,54,25,42,ST,Right,"183cm / 6'0""",69kg / 152lb,,20,Republic of Ireland,SSE Airtricity PD,Waterford
Ge Zhen,56,65,28,47,50,52,63,RB,Right,"179cm / 5'10""",72kg / 159lb,"LB, CB",37,China PR,CSL,Qingdao W. Coast
Ged Garner,61,70,61,48,61,23,66,ST,Left,"183cm / 6'0""",73kg / 161lb,,25,England,EFL League Two,Barrow
Gedson Fernandes,77,80,73,74,80,75,81,CM,Right,"183cm / 6'0""",63kg / 139lb,"CDM, CAM",25,Portugal,Trendyol Super Lig,Besiktas
Geisson Perea,67,60,28,48,56,67,73,CB,Right,"181cm / 5'11""",81kg / 179lb,,33,Colombia,Sudamericana,UCV
Gelardo,64,64,56,63,64,51,55,CM,Right,"180cm / 5'11""",66kg / 146lb,,22,Spain,LALIGA HYPERMOTION,Racing de Ferrol
Gelson Martins,74,86,67,67,81,51,54,RM,Right,"170cm / 5'7""",74kg / 163lb,"LM, RW",29,Portugal,Hellas Liga,Olympiacos FC
Gema Soliveres,71,55,63,70,66,66,69,CM,Right,"170cm / 5'7""",55kg / 121lb,,23,Spain,Liga F,Real Betis
Gemma Bonner,74,46,47,44,58,76,74,CB,Right,"178cm / 5'10""",67kg / 148lb,,33,England,Barclays WSL,Liverpool
Gemma Evans,75,40,47,60,62,77,75,CB,Left,"170cm / 5'7""",59kg / 130lb,,28,Wales,Barclays WSL,Liverpool
Gemma Font,71,72,69,68,70,41,70,GK,Right,"165cm / 5'5""",61kg / 134lb,,24,Spain,Liga F,FC Barcelona
Gemma Gili,79,64,71,74,76,74,79,CM,Right,"175cm / 5'9""",58kg / 128lb,CAM,30,Spain,Liga F,Sevilla FC
Genaro,65,57,50,61,62,63,63,CDM,Right,"185cm / 6'1""",76kg / 168lb,"CM, CB",26,Spain,LALIGA HYPERMOTION,Córdoba CF
Geng Xiaofeng,58,59,62,52,56,41,52,GK,Right,"191cm / 6'3""",82kg / 181lb,,36,China PR,CSL,Rongcheng FC
Gennaro Borrelli,61,45,60,38,55,24,62,ST,Right,"194cm / 6'4""",90kg / 198lb,,24,Italy,Serie BKT,Brescia
Gennaro Tutino,74,81,76,68,74,38,66,ST,Right,"177cm / 5'10""",76kg / 168lb,CAM,28,Italy,Serie BKT,Sampdoria
Geny Catamo,76,88,70,66,81,64,58,RM,Left,"173cm / 5'8""",69kg / 152lb,"RB, RW",23,Mozambique,Liga Portugal,Sporting CP
Geoffrey Kondogbia,79,67,71,75,75,80,88,CM,Left,"188cm / 6'2""",76kg / 168lb,CDM,31,Central African Republic,Ligue 1 McDonald's,OM
Geoffrey Lembet,65,66,59,62,71,39,65,GK,Left,"186cm / 6'1""",80kg / 176lb,,35,Central African Republic,Ligue 1 McDonald's,Stade Rennais FC
Geoffry Hairemans,70,41,73,79,72,47,67,RW,Left,"183cm / 6'0""",74kg / 163lb,"CAM, RM",32,Belgium,1A Pro League,KV Mechelen
George Baldock,70,70,47,63,69,65,72,RB,Right,"175cm / 5'9""",67kg / 148lb,,31,Greece,Hellas Liga,Panathinaikos
George Bello,68,83,47,57,71,60,68,LM,Left,"170cm / 5'7""",68kg / 150lb,"LB, LW",22,United States,Bundesliga,LASK
George Broadbent,59,66,50,55,58,55,61,CM,Right,"175cm / 5'9""",68kg / 150lb,,23,England,EFL League Two,Doncaster
George Byers,66,58,61,61,66,60,68,CM,Right,"180cm / 5'11""",73kg / 161lb,CDM,28,Scotland,EFL League Two,Port Vale
George Campbell,66,71,33,43,58,63,75,CB,Right,"188cm / 6'2""",84kg / 185lb,,23,United States,MLS,CF Montréal
George Cooper,55,65,34,41,48,54,60,CB,Right,"188cm / 6'2""",77kg / 170lb,,21,England,EFL League One,Mansfield Town
George Dobson,70,54,54,66,64,66,76,CDM,Right,"185cm / 6'1""",75kg / 165lb,CM,26,England,EFL League One,Wrexham
George Earthy,64,67,58,61,67,38,47,CAM,Right,"178cm / 5'10""",70kg / 154lb,CM,20,England,EFL Championship,Bristol City
George Edmundson,70,69,35,51,57,68,80,CB,Right,"190cm / 6'3""",80kg / 176lb,,27,England,EFL Championship,Middlesbrough
George Evans,65,61,60,62,61,64,69,CDM,Right,"184cm / 6'0""",76kg / 168lb,"CM, CB",29,England,EFL League One,Wrexham
George Hall,65,82,58,63,67,61,65,CAM,Right,"178cm / 5'10""",70kg / 154lb,CM,20,England,EFL League Two,Walsall
George Harmon,61,68,40,51,59,57,58,LB,Left,"180cm / 5'11""",72kg / 159lb,,23,England,Scottish Prem,Ross County
George Hirst,71,76,70,55,67,41,76,ST,Right,"191cm / 6'3""",81kg / 179lb,,25,England,Premier League,Ipswich
George Honeyman,71,69,64,71,70,65,73,RM,Right,"173cm / 5'8""",72kg / 159lb,"CM, LM, RW",30,England,EFL Championship,Millwall
George Ilenikhena,70,81,71,56,69,26,61,ST,Left,"185cm / 6'1""",76kg / 168lb,,18,France,Ligue 1 McDonald's,AS Monaco
George Johnston,67,64,33,51,61,66,74,CB,Left,"181cm / 5'11""",78kg / 172lb,,26,Scotland,EFL League One,Bolton
George Lapslie,61,63,59,59,63,56,65,CAM,Right,"180cm / 5'11""",74kg / 163lb,CM,27,England,EFL League Two,Gillingham
George Lloyd,60,80,58,51,63,34,72,ST,Right,"173cm / 5'8""",63kg / 139lb,,24,England,EFL League One,Shrewsbury
George Long,67,67,66,66,68,31,67,GK,Left,"193cm / 6'4""",94kg / 207lb,,30,England,EFL Championship,Norwich
George Maris,62,68,58,61,62,58,66,CM,Right,"180cm / 5'11""",83kg / 183lb,"CAM, CDM",28,England,EFL League One,Mansfield Town
George Marks,61,62,64,64,61,27,63,GK,Right,"185cm / 6'1""",80kg / 176lb,,24,United States,MLS,Charlotte FC
George McEachran,62,60,45,63,65,57,52,CM,Left,"172cm / 5'8""",65kg / 143lb,CDM,24,England,EFL League Two,Grimsby Town
George Merloi,63,77,55,59,68,37,58,RM,Left,"170cm / 5'7""",65kg / 143lb,"CAM, RW",24,Romania,SUPERLIGA,Farul Constanța
George Miller,62,83,61,51,61,37,69,ST,Right,"178cm / 5'10""",64kg / 141lb,,26,England,EFL League Two,Cheltenham Town
George Nevett,58,62,25,44,50,58,62,CB,Left,"185cm / 6'1""",71kg / 157lb,,18,Wales,EFL League One,Peterborough
George Nurse,66,78,53,58,61,63,68,LB,Left,"181cm / 5'11""",78kg / 172lb,CB,25,England,EFL League One,Shrewsbury
George Pușcaș,67,67,67,53,64,36,72,ST,Right,"188cm / 6'2""",78kg / 172lb,,28,Romania,Trendyol Super Lig,Bodrum FK
George Ray,62,49,26,36,47,63,72,CB,Right,"193cm / 6'4""",86kg / 190lb,,30,Wales,EFL League Two,Morecambe
George Saville,70,60,66,69,69,68,73,CM,Left,"182cm / 6'0""",73kg / 161lb,CDM,31,Northern Ireland,EFL Championship,Millwall
George Tanner,68,71,43,55,65,65,67,RB,Right,"181cm / 5'11""",71kg / 157lb,CB,24,England,EFL Championship,Bristol City
George Thomas,64,77,61,62,67,58,62,CAM,Right,"173cm / 5'8""",76kg / 168lb,"CM, RM",27,Wales,EFL League One,Cambridge Utd
George Thomason,66,63,58,62,66,62,66,CM,Left,"177cm / 5'10""",69kg / 152lb,CDM,23,England,EFL League One,Bolton
George Thomson,63,69,60,60,63,51,63,RM,Right,"175cm / 5'9""",69kg / 152lb,"RB, CM, RW",32,England,EFL League Two,Harrogate Town
George Ungureanu,57,58,57,52,59,40,58,GK,Right,"188cm / 6'2""",75kg / 165lb,,17,Romania,SUPERLIGA,FC Rapid 1923
George Wickens,61,60,60,64,63,30,59,GK,Right,"194cm / 6'4""",81kg / 179lb,,22,England,EFL League One,Lincoln City
George Williams,63,69,39,55,59,60,73,RB,Right,"178cm / 5'10""",77kg / 170lb,,31,England,EFL League One,Mansfield Town
Georges Mikautadze,77,81,78,72,80,40,71,ST,Right,"176cm / 5'9""",71kg / 157lb,,23,Georgia,Ligue 1 McDonald's,OL
Georges-Kévin Nkoudou,77,93,76,70,79,34,61,LM,Right,"172cm / 5'8""",75kg / 165lb,LW,29,Cameroon,ROSHN Saudi League,Damac FC
Georgi Kostadinov,69,64,55,59,59,68,72,CDM,Right,"185cm / 6'1""",75kg / 165lb,CM,34,Bulgaria,Liga Cyprus,APOEL FC
Georgi Milanov,66,66,65,67,67,43,51,LW,Left,"185cm / 6'1""",75kg / 165lb,"RW, CAM, LM",32,Bulgaria,SUPERLIGA,FC Dinamo 1948
Georgia Mullett,62,61,63,50,65,31,58,ST,Right,"162cm / 5'4""",51kg / 112lb,,18,England,Barclays WSL,Aston Villa
Georgia Stanway,84,80,78,80,86,76,75,CDM,Right,"162cm / 5'4""",58kg / 128lb,CM,25,England,GPFBL,FC Bayern Munchen
Georgie Gent,64,85,48,58,64,55,57,LB,Left,"180cm / 5'11""",73kg / 161lb,LM,20,England,EFL League One,Barnsley
Georgie Kelly,62,60,62,48,55,22,72,ST,Right,"188cm / 6'2""",77kg / 170lb,,27,Republic of Ireland,EFL League Two,Carlisle United
Georginio Rutter,75,79,69,70,79,42,70,CAM,Left,"182cm / 6'0""",77kg / 170lb,ST,22,France,Premier League,Brighton
Georginio Wijnaldum,78,68,72,76,80,76,75,CM,Right,"175cm / 5'9""",74kg / 163lb,CDM,33,Netherlands,ROSHN Saudi League,Ettifaq FC
Georgios Antzoulas,60,62,46,54,54,57,66,CB,Right,"188cm / 6'2""",77kg / 170lb,,24,Greece,Finnliiga,HJK Helsinki
Georgios Kanellopoulos,62,69,55,60,66,46,57,CM,Right,"185cm / 6'1""",75kg / 165lb,,24,Greece,Finnliiga,HJK Helsinki
Georgios Masouras,75,75,75,73,73,53,70,RM,Right,"184cm / 6'0""",76kg / 168lb,"RW, LW",30,Greece,Hellas Liga,Olympiacos FC
Georgios Nikas,65,73,60,61,65,62,76,CM,Right,"188cm / 6'2""",81kg / 179lb,CDM,24,Greece,Hellas Liga,Panathinaikos
Georgios Theocharis,59,62,58,55,62,24,56,GK,Left,"189cm / 6'2""",95kg / 209lb,,22,Greece,Hellas Liga,AEK Athens
Georgios Vagiannidis,71,79,47,64,67,65,66,RB,Right,"181cm / 5'11""",68kg / 150lb,,23,Greece,Hellas Liga,Panathinaikos
Georgiy Bushchan,76,77,68,81,79,30,75,GK,Right,"196cm / 6'5""",84kg / 185lb,,30,Ukraine,Ukrayina Liha,Dynamo Kyiv
Georgiy Zhukov,65,75,57,63,69,58,71,CM,Right,"172cm / 5'8""",76kg / 168lb,CDM,29,Kazakhstan,CSL,Cangzhou FC
Geovane Jesus,62,81,39,44,58,60,63,RB,Right,"182cm / 6'0""",79kg / 174lb,,23,Brazil,MLS,FC Dallas
Geovany Quenda,67,77,62,61,72,21,52,RW,Left,"172cm / 5'8""",65kg / 143lb,"LW, RM",17,Portugal,Liga Portugal,Sporting CP
Geraldo Bajrami,58,62,37,38,47,58,66,CB,Right,"182cm / 6'0""",78kg / 172lb,,24,Albania,EFL League One,Burton Albion
Gerard Moreno,83,77,85,77,81,46,72,ST,Left,"180cm / 5'11""",77kg / 170lb,"RW, CAM",32,Spain,LA LIGA,Villarreal CF
Gerard Valentín,70,89,53,59,75,61,72,RM,Right,"177cm / 5'10""",75kg / 165lb,"RB, RW",31,Spain,LALIGA HYPERMOTION,SD Huesca
Gerard Yepes,70,63,55,67,69,68,50,CDM,Right,"170cm / 5'7""",66kg / 146lb,CM,22,Spain,Serie BKT,Sampdoria
Gerardo Padrón,59,68,49,58,64,43,39,CM,Right,"169cm / 5'7""",56kg / 123lb,"RM, CAM",21,Venezuela,Sudamericana,Rayo Zuliano
Gerardo Valenzuela,52,69,45,50,50,39,53,CAM,Right,"183cm / 6'0""",75kg / 165lb,"ST, CM",19,United States,MLS,FC Cincinnati
Gerasimos Mitoglou,70,63,31,51,46,68,82,CB,Right,"195cm / 6'5""",88kg / 194lb,,24,Greece,Hellas Liga,AEK Athens
Gergő Szécsi,60,59,60,60,61,27,59,GK,Right,"185cm / 6'1""",80kg / 176lb,,35,Hungary,Magyar Liga,Ferencvárosi TC
German Onugkha,70,67,70,54,67,24,79,ST,Right,"190cm / 6'3""",94kg / 207lb,,28,Russia,3F Superliga,F.C. København
Germán Conti,72,55,38,52,48,73,75,CB,Right,"193cm / 6'4""",81kg / 179lb,,30,Argentina,Sudamericana,Racing Club
Germán Parreño,69,67,68,66,70,36,68,GK,Right,"191cm / 6'3""",78kg / 172lb,,31,Spain,LALIGA HYPERMOTION,RC Deportivo
Germán Pezzella,77,54,49,52,57,79,75,CB,Right,"187cm / 6'2""",82kg / 181lb,,33,Argentina,Libertadores,River Plate
Gernot Trauner,78,56,57,67,67,79,80,CB,Right,"183cm / 6'0""",82kg / 181lb,,32,Austria,Eredivisie,Feyenoord
Geronimo Rulli,79,78,76,80,81,54,79,GK,Right,"189cm / 6'2""",84kg / 185lb,,32,Argentina,Ligue 1 McDonald's,OM
Gerrit Gohlke,63,61,28,42,45,61,73,CB,Right,"192cm / 6'4""",81kg / 179lb,,25,Germany,3. Liga,Arminia Bielefeld
Gerrit Holtmann,69,86,64,63,68,56,60,LM,Left,"185cm / 6'1""",77kg / 170lb,"LW, RM",29,Philippines,Bundesliga,VfL Bochum 1848
Gerrit Nauber,67,44,35,43,47,68,71,CB,Right,"185cm / 6'1""",78kg / 172lb,,32,Germany,Eredivisie,Go Ahead Eagles
Gerso,72,90,65,62,75,41,64,LW,Left,"172cm / 5'8""",62kg / 137lb,"RW, ST, LM",33,Guinea-Bissau,K League 1,Incheon United
Gerson Barreto,66,64,72,66,69,55,67,CM,Right,"179cm / 5'10""",70kg / 154lb,CDM,29,Peru,Sudamericana,UCV
Gerónimo Heredia,64,75,43,54,58,59,62,RB,Right,"174cm / 5'9""",75kg / 165lb,CM,19,Argentina,Sudamericana,Belgrano
Gethin Jones,65,74,46,56,62,63,75,CB,Right,"178cm / 5'10""",74kg / 163lb,RB,28,Australia,EFL League One,Bolton
Gevin Shinarsa Pratama,75,49,60,75,65,85,75,GK,kanan,174,56,CB,18,Indonesia,BRI Liga 1,Bekasi city
Geyse,81,92,79,74,85,34,87,ST,Right,"169cm / 5'7""",60kg / 132lb,RW,26,Brazil,Barclays WSL,Manchester Utd
Gheorghe Grozav,67,76,66,63,67,32,66,LM,Right,"182cm / 6'0""",71kg / 157lb,"ST, LW",33,Romania,SUPERLIGA,FC Petrolul
Ghislain Konan,76,81,52,69,74,71,75,LB,Left,"176cm / 5'9""",71kg / 157lb,LM,28,Cote d'Ivoire,ROSHN Saudi League,Al Nassr
Ghizlane Chebbak,72,63,69,75,72,65,63,CM,Right,"166cm / 5'5""",58kg / 128lb,,34,Morocco,Liga F,Levante Badalona
Ghjuvanni Quilichini,60,59,57,61,65,25,61,GK,Right,"185cm / 6'1""",79kg / 174lb,,22,France,Ligue 2 BKT,AC Ajaccio
Gia Corley,77,66,67,74,76,62,69,CM,Right,"159cm / 5'3""",55kg / 121lb,CAM,22,United States,GPFBL,TSG Hoffenheim
Giacomo Bonaventura,79,65,78,80,80,70,64,CAM,Right,"180cm / 5'11""",75kg / 165lb,CM,35,Italy,ROSHN Saudi League,Al Shabab
Giacomo Calò,69,61,49,63,65,62,72,CDM,Right,"180cm / 5'11""",74kg / 163lb,CM,27,Italy,Serie BKT,Cesena
Giacomo Drago,58,58,55,55,62,39,53,GK,Right,"194cm / 6'4""",82kg / 181lb,,23,Italy,Serie BKT,Südtirol
Giacomo Manzari,64,77,65,57,66,28,51,ST,Left,"178cm / 5'10""",70kg / 154lb,,23,Italy,Serie BKT,Bari
Giacomo Olzer,60,63,57,59,62,34,62,CAM,Left,"188cm / 6'2""",78kg / 172lb,,23,Italy,Serie BKT,Brescia
Giacomo Poluzzi,71,70,69,64,73,44,73,GK,Left,"184cm / 6'0""",74kg / 163lb,,36,Italy,Serie BKT,Südtirol
Giacomo Quagliata,67,81,40,54,64,62,65,LB,Left,"177cm / 5'10""",63kg / 139lb,LM,24,Italy,Serie BKT,Cremonese
Giacomo Raspadori,78,79,77,68,82,27,56,CAM,Right,"172cm / 5'8""",69kg / 152lb,"ST, LW",24,Italy,Serie A Enilive,SSC Napoli
Giacomo Ricci,67,63,34,55,62,65,66,LB,Left,"180cm / 5'11""",75kg / 165lb,LM,28,Italy,Serie BKT,Cosenza
Giacomo Satalino,66,68,64,56,69,21,66,GK,Right,"188cm / 6'2""",75kg / 165lb,,25,Italy,Serie BKT,Sassuolo
Giacomo Vrioni,69,74,69,55,67,24,71,ST,Left,"188cm / 6'2""",85kg / 187lb,,25,Albania,MLS,New England
Giada Greggi,82,84,71,72,83,75,72,CM,Right,"156cm / 5'1""",50kg / 110lb,CDM,24,Italy,Calcio A Femminile,Roma
Gian Marco Crespi,52,53,48,58,54,28,51,GK,Right,"189cm / 6'2""",75kg / 165lb,,23,Italy,Serie BKT,Spezia
Gian Nardelli,66,66,42,47,50,66,75,CB,Right,"186cm / 6'1""",76kg / 168lb,RB,24,Argentina,Primera División,Tigre
Giangiacomo Magnani,75,64,39,45,50,76,72,CB,Right,"191cm / 6'3""",87kg / 192lb,,28,Italy,Serie A Enilive,Hellas Verona
Gianluca Busio,73,73,64,72,76,63,65,CM,Right,"170cm / 5'7""",61kg / 134lb,CDM,22,United States,Serie A Enilive,Venezia
Gianluca Caprari,77,77,74,76,80,36,49,CAM,Right,"176cm / 5'9""",72kg / 159lb,ST,31,Italy,Serie A Enilive,Monza
Gianluca Di Chiara,72,78,54,70,68,64,77,LB,Left,"186cm / 6'1""",78kg / 172lb,,30,Italy,Serie A Enilive,Parma
Gianluca Ferrari,67,71,43,59,60,63,79,CB,Right,"181cm / 5'11""",76kg / 168lb,,27,Argentina,Primera División,Atlético Tucumán
Gianluca Frabotta,68,67,53,63,65,64,68,LB,Left,"187cm / 6'2""",70kg / 154lb,,25,Italy,EFL Championship,West Brom
Gianluca Gaetano,73,63,70,71,75,51,61,CAM,Right,"175cm / 5'9""",70kg / 154lb,CM,24,Italy,Serie A Enilive,Cagliari
Gianluca Gaudino,66,68,56,66,70,47,45,CAM,Right,"179cm / 5'10""",73kg / 161lb,LM,27,Germany,3. Liga,Aleman. Aachen
Gianluca Lapadula,73,68,73,61,72,39,71,ST,Left,"178cm / 5'10""",71kg / 157lb,,34,Peru,Serie A Enilive,Cagliari
Gianluca Mancini,82,71,45,56,64,83,85,CB,Right,"190cm / 6'3""",77kg / 170lb,,28,Italy,Serie A Enilive,AS Roma
Gianluca Prestianni,68,87,60,57,76,35,46,RM,Right,"166cm / 5'5""",63kg / 139lb,"CAM, CM, RW",18,Argentina,Liga Portugal,SL Benfica
Gianluca Saro,60,59,64,61,59,21,56,GK,Right,"187cm / 6'2""",86kg / 190lb,,24,Italy,Serie BKT,Cremonese
Gianluca Scamacca,79,65,81,67,74,36,74,ST,Right,"195cm / 6'5""",85kg / 187lb,,25,Italy,Serie A Enilive,Bergamo Calcio
Gianluca Swajkowski,56,60,29,36,52,55,63,CB,Right,"185cm / 6'1""",75kg / 165lb,RB,19,Germany,3. Liga,Rot-Weiss Essen
Gianlucca Fatecha,65,72,63,60,64,48,56,CAM,Left,"174cm / 5'9""",65kg / 143lb,CM,26,Paraguay,Sudamericana,Cerro Largo
Gianluigi Donnarumma,89,90,84,73,90,52,87,GK,Right,"196cm / 6'5""",90kg / 198lb,,25,Italy,Ligue 1 McDonald's,Paris SG
Gianni Bruno,72,70,74,66,71,39,66,ST,Right,"180cm / 5'11""",73kg / 161lb,RW,33,Belgium,Trendyol Super Lig,Eyüpspor
Gianni Stensness,67,53,41,55,58,65,79,CB,Right,"185cm / 6'1""",82kg / 181lb,CDM,25,Australia,Eliteserien,Viking FK
Giannis Konstantelias,75,77,65,74,79,38,56,CAM,Right,"178cm / 5'10""",66kg / 146lb,RW,21,Greece,Hellas Liga,PAOK FC
Giannis Kotsiras,72,77,52,67,70,68,72,RB,Right,"183cm / 6'0""",77kg / 170lb,CDM,31,Greece,Hellas Liga,Panathinaikos
Giannis Michailidis,72,67,51,63,62,72,70,CB,Left,"188cm / 6'2""",85kg / 187lb,,24,Greece,Hellas Liga,PAOK FC
Giannis Papanikolaou,67,72,56,63,68,63,76,CM,Right,"182cm / 6'0""",73kg / 161lb,CB,25,Greece,Trendyol Super Lig,Çaykur Rizespor
Giannis Satsias,66,74,58,59,66,60,65,CM,Right,"181cm / 5'11""",70kg / 154lb,CDM,21,Cyprus,Liga Cyprus,APOEL FC
Gideon Jung,68,70,41,59,60,67,73,CB,Right,"189cm / 6'2""",76kg / 168lb,CDM,30,Germany,Bundesliga 2,Fürth
Gideon Kodua,58,74,51,53,61,29,42,RM,Right,"177cm / 5'10""",73kg / 161lb,"RB, RW",19,England,Premier League,West Ham
Gideon Mensah,70,76,56,63,70,64,67,LB,Left,"178cm / 5'10""",64kg / 141lb,,26,Ghana,Ligue 1 McDonald's,AJ Auxerre
Gift Links,69,85,57,66,71,60,66,LB,Left,"170cm / 5'7""",60kg / 132lb,,25,South Africa,3F Superliga,AGF
Gift Monday,75,87,69,69,76,66,76,LW,Left,"168cm / 5'6""",57kg / 126lb,LM,22,Nigeria,Liga F,UD Tenerife
